INFO:tensorflow:[INFO] Key senior_f-0083_095 length 482.
INFO:tensorflow:[INFO] Key senior_f-0084_007 length 628.
INFO:tensorflow:[INFO] Key senior_f-0085_094 length 354.
INFO:tensorflow:[INFO] Key senior_f-0086_030 length 490.
INFO:tensorflow:[INFO] Key senior_f-0087_042 length 593.
INFO:tensorflow:[INFO] Key senior_f-0088_012 length 506.
INFO:tensorflow:[INFO] Key senior_f-0089_005 length 385.
INFO:tensorflow:[INFO] Key senior_f-0090_025 length 215.
INFO:tensorflow:[INFO] Key senior_f-0091_074 length 252.
INFO:tensorflow:[INFO] Key senior_f-0092_090 length 246.
INFO:tensorflow:[INFO] Key senior_f-0093_032 length 298.
INFO:tensorflow:[INFO] Key senior_f-0096_078 length 289.
INFO:tensorflow:[INFO] Key senior_f-0098_041 length 319.
INFO:tensorflow:[INFO] Key senior_f-0100_059 length 163.
INFO:tensorflow:[INFO] Key senior_m-0001_063 length 377.
INFO:tensorflow:[INFO] Key senior_m-0002_064 length 262.
INFO:tensorflow:[INFO] Key senior_m-0003_002 length 269.
INFO:tensorflow:[INFO] Key senior_m-0004_040 length 232.
INFO:tensorflow:[INFO] Key senior_m-0005_083 length 343.
INFO:tensorflow:[INFO] Key senior_m-0006_100 length 700.
INFO:tensorflow:[INFO] Key senior_m-0007_034 length 380.
INFO:tensorflow:[INFO] Key senior_m-0009_051 length 138.
INFO:tensorflow:[INFO] Key senior_m-0010_101 length 325.
INFO:tensorflow:[INFO] Key senior_m-0011_011 length 251.
INFO:tensorflow:[INFO] Key senior_m-0012_070 length 318.
INFO:tensorflow:[INFO] Key senior_m-0013_093 length 444.
INFO:tensorflow:[INFO] Key senior_m-0014_020 length 133.
INFO:tensorflow:[INFO] Key senior_m-0015_092 length 246.
INFO:tensorflow:[INFO] Key senior_m-0017_029 length 324.
INFO:tensorflow:[INFO] Key senior_m-0018_098 length 181.
INFO:tensorflow:[INFO] Key senior_m-0019_086 length 257.
INFO:tensorflow:[INFO] Key senior_m-0020_020 length 330.
INFO:tensorflow:[INFO] Key senior_m-0021_044 length 214.
INFO:tensorflow:[INFO] Key senior_m-0022_107 length 354.
INFO:tensorflow:[INFO] Key senior_m-0023_007 length 227.
INFO:tensorflow:[INFO] Key senior_m-0024_084 length 260.
INFO:tensorflow:[INFO] Key senior_m-0026_074 length 338.
INFO:tensorflow:[INFO] Key senior_m-0027_013 length 208.
INFO:tensorflow:[INFO] Key senior_m-0028_042 length 270.
INFO:tensorflow:[INFO] Key senior_m-0029_010 length 256.
INFO:tensorflow:[INFO] Key senior_m-0029_053 length 273.
INFO:tensorflow:[INFO] Key senior_m-0031_030 length 205.
INFO:tensorflow:[INFO] Key senior_m-0032_043 length 206.
INFO:tensorflow:[INFO] Key senior_m-0033_022 length 310.
INFO:tensorflow:[INFO] Key senior_m-0035_021 length 246.
INFO:tensorflow:[INFO] Key senior_m-0036_090 length 324.
INFO:tensorflow:[INFO] Key senior_m-0037_027 length 201.
INFO:tensorflow:[INFO] Key senior_m-0038_020 length 307.
INFO:tensorflow:[INFO] Key senior_m-0039_063 length 234.
INFO:tensorflow:[INFO] Key senior_m-0039_075 length 319.
INFO:tensorflow:[INFO] Key senior_m-0039_086 length 256.
INFO:tensorflow:[INFO] Key senior_m-0039_088 length 233.
INFO:tensorflow:[INFO] Key senior_m-0039_090 length 231.
INFO:tensorflow:[INFO] Key senior_m-0039_094 length 215.
INFO:tensorflow:[INFO] Key senior_m-0039_095 length 165.
INFO:tensorflow:[INFO] Key senior_m-0039_096 length 295.
INFO:tensorflow:[INFO] Key senior_m-0039_098 length 127.
INFO:tensorflow:[INFO] Key senior_m-0039_099 length 218.
INFO:tensorflow:[INFO] Key senior_m-0042_097 length 275.
INFO:tensorflow:[INFO] Key senior_m-0043_038 length 227.
INFO:tensorflow:[INFO] Key senior_m-0044_043 length 598.
INFO:tensorflow:[INFO] Key senior_m-0045_027 length 511.
INFO:tensorflow:[INFO] Key senior_m-0046_058 length 435.
LOG (apply-cmvn-sliding[5.5.598~1-611ff]:main():apply-cmvn-sliding.cc:75) Applied sliding-window cepstral mean normalization to 270 utterances, 0 had errors.
LOG (select-voiced-frames[5.5.598~1-611ff]:main():select-voiced-frames.cc:106) Done selecting voiced frames; processed 270 utterances, 0 had errors.
INFO:tensorflow:[INFO] Key senior_m-0048_060 length 246.
INFO:tensorflow:[INFO] Key senior_m-0049_017 length 443.
LOG (copy-vector[5.5.598~1-611ff]:main():copy-vector.cc:90) Copied 270 vectors.
# Accounting: time=20 threads=1
# Ended (code 0) at Tue Nov 24 11:15:07 KST 2020, elapsed time 20 seconds
